0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
-0.0326;0.5154;-0.8997;-0.6785;0.743;0.933;-0.7034;-0.0301;-0.1462;0.5655;0.7434;0.073;-0.8096;0.3667;0.9965;0.386;0.1481;0.9746;-0.9985;-0.9405;-0.6502;-0.0864;0.729;-0.7563;-0.6215;-0.6523;-0.3469;0.3242;0.4648;-0.3101
-0.4839;0.1861;-0.6968;-0.0525;-0.341;-0.9911;0.072;0.3339;0.1285;0.184;-0.5252;0.8841;-0.9486;0.3869;0.1995;0.202;-0.1504;0.1241;0.7793;0.1345;0.9527;-0.9699;0.3153;-0.7656;-0.4922;-0.4252;0.8886;0.691;0.0798;0.4254
-0.2695;0.5856;0.7511;-0.2189;0.3076;-0.5859;-0.8015;0.8186;0.5244;-0.8696;0.8239;0.3287;0.0729;0.6195;0.7429;-0.0647;-0.9332;-0.5983;0.3397;-0.1042;-0.5207;-0.0547;-0.4039;0.1794;0.6599;0.614;0.991;0.8841;0.9562;0.4138
0.5163;-0.3889;-0.5674;0.8349;0.9976;-0.7303;0.5345;0.2592;-0.1986;0.1438;-0.6195;-0.2409;0.8745;0.9621;0.4398;0.2015;0.9798;0.9775;-0.9743;0.7226;0.5224;0.5848;-0.3528;0.2851;0.7307;-0.2694;0.3748;0.273;0.3733;0.0589
0.4352;0.1445;-0.8513;-0.9614;0.5482;0.5706;0.0277;-0.1351;0.0903;0.4867;-0.907;-0.268;-0.334;0.8034;-0.1825;-0.888;-0.9542;0.7422;0.6149;-0.4249;0.4095;-0.6291;-0.1688;-0.2344;-0.1292;-0.484;0.7459;-0.3136;-0.5143;0.6706
-0.0136;0.2175;-0.977;0.2761;0.6023;-0.059;0.6716;-0.6809;0.8288;0.4666;0.9752;0.4064;0.318;-0.3131;0.284;-0.8336;0.1659;-0.9736;-0.999;0.8374;0.5603;-0.1273;0.5278;-0.8672;-0.7135;0.6285;-0.3432;0.287;-0.3961;0.9761
-0.3702;-0.1257;0.1157;-0.2852;-0.176;0.3282;-0.1955;0.5854;-0.6753;0.7274;-0.2479;-0.0162;0.634;0.7633;-0.2641;0.766;0.7817;-0.6961;0.1944;-0.4982;0.6907;0.3483;-0.5078;0.3407;0.2802;0.4704;0.2299;0.0201;-0.4127;-0.6906
-0.0145;0.0028;-0.0493;0.7067;0.0135;0.5184;0.1236;-0.923;0.1814;-0.6104;0.8149;0.2208;-0.181;-0.4386;0.5758;0.2201;0.6116;-0.5775;0.1426;-0.6136;0.3101;0.9958;0.8234;-0.2218;0.3431;-0.3339;-0.6486;-0.2499;-0.7468;-0.4748
-0.6409297821279852;-0.4128971437688269;0.6007780531209448;0.10475724971349402;0.9121178515629056;-0.22107689197776062;-0.6299;-0.5133915571334379;-0.9009700099668553;-0.050109910743658545;0.6527451269271921;0.2815568289012951;-0.0244;0.8542;-0.8174926626731203;-0.7686723136573919;0.1318654370248931;-0.8572786000079061;-0.18414460350904038;-0.18902269460262627;0.42441065719454385;0.02978579874108019;0.8574565566766613;-0.5449690257374873;-0.047103547180612285;0.04505109487896765;-0.8524110424980313;0.6854351562447497;-0.4021574160316041;-0.7289447509960555
-0.6888;-0.0215;-0.3356;0.0022;-0.6088;-0.6054;-0.432;0.1967;-0.9808;0.7772;0.8674;0.7308;0.4355;0.254;0.438;-0.2372;0.6255;0.2611;-0.5552;0.16;0.5224;-0.4351;0.4779;0.5243;0.7537;-0.0745;-0.1853;0.1329;0.6294;0.9303
0.3459;0.2338;-0.5145;-0.1994;-0.3865;-0.5118;0.3232;-0.6072;0.1281;-0.7578;-0.6532;-0.1965;-0.3119;-0.477;0.5004;0.8714;0.8118;0.5921;-0.4792;0.4104;0.4778;0.2523;-0.1845;-0.1238;-0.0816;0.5005;-0.8387;0.1834;-0.1777;0.7565
-0.22172978212798525;0.4857028562311731;-0.43912194687905526;0.2845572497134941;0.1753178515629045;-0.2053768919777606;-0.93;-0.6894915571334379;0.06852999003314475;0.3413900892563415;0.16964512692719205;0.5527568289012948;0.7834;-0.1292;0.48560733732688;0.9889276863426081;-0.38353456297510724;-0.3070786000079054;0.9104553964909597;-0.12682269460262616;0.8887106571945432;0.9694857987410795;-0.42564344332333875;0.5662309742625128;-0.3645035471806123;-0.5450489051210319;-0.12751104249803105;-0.7074648437552503;-0.4654574160316041;-0.7909447509960554
-0.7752;0.486;-0.9606;0.8353;0.6983;0.7465;-0.7593;-0.4391;-0.4295;0.6143;-0.7056;-0.664;0.5351;0.9953;-0.0718;0.0943;-0.9572;-0.1968;0.4302;0.2554;0.2552;-0.8117;0.5169;0.05;-0.0743;-0.8238;0.314;-0.3798;-0.1615;-0.6432
-0.1046;0.2634;0.9763;0.34;0.5655;0.5454;-0.8288;0.968;-0.5409;-0.3429;0.8483;-0.3131;-0.8997;-0.5329;0.1103;-0.7713;0.9112;-0.0794;-0.2905;-0.5926;0.3063;0.662;0.145;-0.6807;-0.811;0.5514;0.8768;-0.433;-0.1131;-0.3911
0.0364;0.6208;0.5925;0.8969;0.2825;0.1837;0.9592;-0.9192;0.7891;-0.598;0.9477;0.5592;0.9175;0.5055;0.4396;-0.6269;0.2987;-0.3546;0.9478;0.2112;0.3337;0.0363;0.2967;-0.8491;-0.4671;0.8558;0.8056;-0.4968;0.8167;-0.8183
0.0607;0.7683;0.2569;-0.0414;-0.4102;-0.4845;0.2508;-0.3845;-0.5825;-0.5605;-0.7234;-0.3239;0.7189;-0.4327;0.6889;0.0569;0.9132;0.9776;-0.5488;-0.9654;0.0104;0.3299;0.5906;-0.3092;0.0482;-0.8991;-0.4423;0.7043;0.1934;-0.5061
-0.4629;0.1173;0.6168;-0.9135;-0.2641;0.2211;-0.7414;0.9119;0.7;0.6028;-0.5006;-0.1705;0.9627;-0.44;-0.0143;0.9252;-0.1731;0.5574;-0.4262;0.0086;-0.4097;0.6876;-0.6903;0.8919;-0.4784;-0.2326;-0.2288;0.8942;0.3361;0.3197
-0.8951297821279853;-0.23799714376882766;0.38727805312094477;-0.12334275028650593;0.9341178515629054;0.2560231080222393;-0.9261;0.3939084428665623;0.8757299900331448;0.24849008925634122;0.9260451269271921;-0.621643171098705;0.0851;0.2104;0.0015073373268798327;-0.9382723136573919;0.8984654370248929;-0.9110786000079061;-0.9899446035090403;0.8194773053973731;0.5779106571945433;0.15568579874108018;-0.8458434433233387;-0.7983690257374872;0.811096452819388;0.5395510948789681;0.9560889575019687;0.02793515624475;-0.31865741603160413;0.9878552490039445
